,REPORT
2286,1. there are questionable grouped calcification in the subareolar right breast.
2287,1. there are questionable grouped calcification in the subareolar right breast at anterior depth.
2288,1. there are questionable grouped calcification in the subareolar right breast at mid depth.
2289,1. there are questionable grouped calcification in the subareolar right breast at posterior depth.
2290,1. there are questionable clustered calcification in the right breast.
2291,1. there are questionable clustered calcification in the right breast at anterior depth.
2292,1. there are questionable clustered calcification in the right breast at mid depth.
2293,1. there are questionable clustered calcification in the right breast at posterior depth.
2294,1. there are questionable clustered calcification in the upper right breast.
2295,1. there are questionable clustered calcification in the upper right breast at anterior depth.
2296,1. there are questionable clustered calcification in the upper right breast at mid depth.
2297,1. there are questionable clustered calcification in the upper right breast at posterior depth.
2298,1. there are questionable clustered calcification in the lower right breast.
2299,1. there are questionable clustered calcification in the lower right breast at anterior depth.
2300,1. there are questionable clustered calcification in the lower right breast at mid depth.
2301,1. there are questionable clustered calcification in the lower right breast at posterior depth.
2302,1. there are questionable clustered calcification in the inner right breast.
2303,1. there are questionable clustered calcification in the inner right breast at anterior depth.
2304,1. there are questionable clustered calcification in the inner right breast at mid depth.
2305,1. there are questionable clustered calcification in the inner right breast at posterior depth.
2306,1. there are questionable clustered calcification in the outer right breast.
2307,1. there are questionable clustered calcification in the outer right breast at anterior depth.
2308,1. there are questionable clustered calcification in the outer right breast at mid depth.
2309,1. there are questionable clustered calcification in the outer right breast at posterior depth.
2310,1. there are questionable clustered calcification in the upper outer right breast.
2311,1. there are questionable clustered calcification in the upper outer right breast at anterior depth.
2312,1. there are questionable clustered calcification in the upper outer right breast at mid depth.
2313,1. there are questionable clustered calcification in the upper outer right breast at posterior depth.
2314,1. there are questionable clustered calcification in the upper inner right breast.
2315,1. there are questionable clustered calcification in the upper inner right breast at anterior depth.
2316,1. there are questionable clustered calcification in the upper inner right breast at mid depth.
2317,1. there are questionable clustered calcification in the upper inner right breast at posterior depth.
2318,1. there are questionable clustered calcification in the lower outer right breast.
2319,1. there are questionable clustered calcification in the lower outer right breast at anterior depth.
2320,1. there are questionable clustered calcification in the lower outer right breast at mid depth.
2321,1. there are questionable clustered calcification in the lower outer right breast at posterior depth.
2322,1. there are questionable clustered calcification in the lower inner right breast.
2323,1. there are questionable clustered calcification in the lower inner right breast at anterior depth.
2324,1. there are questionable clustered calcification in the lower inner right breast at mid depth.
2325,1. there are questionable clustered calcification in the lower inner right breast at posterior depth.
2326,1. there are questionable clustered calcification in the subareolar right breast.
2327,1. there are questionable clustered calcification in the subareolar right breast at anterior depth.
2328,1. there are questionable clustered calcification in the subareolar right breast at mid depth.
2329,1. there are questionable clustered calcification in the subareolar right breast at posterior depth.
2330,1. there are questionable segmental calcification in the right breast.
2331,1. there are questionable segmental calcification in the right breast at anterior depth.
2332,1. there are questionable segmental calcification in the right breast at mid depth.
2333,1. there are questionable segmental calcification in the right breast at posterior depth.
2334,1. there are questionable segmental calcification in the upper right breast.
2335,1. there are questionable segmental calcification in the upper right breast at anterior depth.
2336,1. there are questionable segmental calcification in the upper right breast at mid depth.
2337,1. there are questionable segmental calcification in the upper right breast at posterior depth.
2338,1. there are questionable segmental calcification in the lower right breast.
2339,1. there are questionable segmental calcification in the lower right breast at anterior depth.
2340,1. there are questionable segmental calcification in the lower right breast at mid depth.
2341,1. there are questionable segmental calcification in the lower right breast at posterior depth.
2342,1. there are questionable segmental calcification in the inner right breast.
2343,1. there are questionable segmental calcification in the inner right breast at anterior depth.
2344,1. there are questionable segmental calcification in the inner right breast at mid depth.
2345,1. there are questionable segmental calcification in the inner right breast at posterior depth.
2346,1. there are questionable segmental calcification in the outer right breast.
2347,1. there are questionable segmental calcification in the outer right breast at anterior depth.
2348,1. there are questionable segmental calcification in the outer right breast at mid depth.
2349,1. there are questionable segmental calcification in the outer right breast at posterior depth.
2350,1. there are questionable segmental calcification in the upper outer right breast.
2351,1. there are questionable segmental calcification in the upper outer right breast at anterior depth.
2352,1. there are questionable segmental calcification in the upper outer right breast at mid depth.
2353,1. there are questionable segmental calcification in the upper outer right breast at posterior depth.
2354,1. there are questionable segmental calcification in the upper inner right breast.
2355,1. there are questionable segmental calcification in the upper inner right breast at anterior depth.
2356,1. there are questionable segmental calcification in the upper inner right breast at mid depth.
2357,1. there are questionable segmental calcification in the upper inner right breast at posterior depth.
2358,1. there are questionable segmental calcification in the lower outer right breast.
2359,1. there are questionable segmental calcification in the lower outer right breast at anterior depth.
2360,1. there are questionable segmental calcification in the lower outer right breast at mid depth.
2361,1. there are questionable segmental calcification in the lower outer right breast at posterior depth.
2362,1. there are questionable segmental calcification in the lower inner right breast.
2363,1. there are questionable segmental calcification in the lower inner right breast at anterior depth.
2364,1. there are questionable segmental calcification in the lower inner right breast at mid depth.
2365,1. there are questionable segmental calcification in the lower inner right breast at posterior depth.
2366,1. there are questionable segmental calcification in the subareolar right breast.
2367,1. there are questionable segmental calcification in the subareolar right breast at anterior depth.
2368,1. there are questionable segmental calcification in the subareolar right breast at mid depth.
2369,1. there are questionable segmental calcification in the subareolar right breast at posterior depth.
2370,1. there are questionable linear calcification in the right breast.
2371,1. there are questionable linear calcification in the right breast at anterior depth.
2372,1. there are questionable linear calcification in the right breast at mid depth.
2373,1. there are questionable linear calcification in the right breast at posterior depth.
2374,1. there are questionable linear calcification in the upper right breast.
2375,1. there are questionable linear calcification in the upper right breast at anterior depth.
2376,1. there are questionable linear calcification in the upper right breast at mid depth.
2377,1. there are questionable linear calcification in the upper right breast at posterior depth.
2378,1. there are questionable linear calcification in the lower right breast.
2379,1. there are questionable linear calcification in the lower right breast at anterior depth.
2380,1. there are questionable linear calcification in the lower right breast at mid depth.
2381,1. there are questionable linear calcification in the lower right breast at posterior depth.
2382,1. there are questionable linear calcification in the inner right breast.
2383,1. there are questionable linear calcification in the inner right breast at anterior depth.
2384,1. there are questionable linear calcification in the inner right breast at mid depth.
2385,1. there are questionable linear calcification in the inner right breast at posterior depth.
2386,1. there are questionable linear calcification in the outer right breast.
2387,1. there are questionable linear calcification in the outer right breast at anterior depth.
2388,1. there are questionable linear calcification in the outer right breast at mid depth.
2389,1. there are questionable linear calcification in the outer right breast at posterior depth.
2390,1. there are questionable linear calcification in the upper outer right breast.
2391,1. there are questionable linear calcification in the upper outer right breast at anterior depth.
2392,1. there are questionable linear calcification in the upper outer right breast at mid depth.
2393,1. there are questionable linear calcification in the upper outer right breast at posterior depth.
2394,1. there are questionable linear calcification in the upper inner right breast.
2395,1. there are questionable linear calcification in the upper inner right breast at anterior depth.
2396,1. there are questionable linear calcification in the upper inner right breast at mid depth.
2397,1. there are questionable linear calcification in the upper inner right breast at posterior depth.
2398,1. there are questionable linear calcification in the lower outer right breast.
2399,1. there are questionable linear calcification in the lower outer right breast at anterior depth.
2400,1. there are questionable linear calcification in the lower outer right breast at mid depth.
2401,1. there are questionable linear calcification in the lower outer right breast at posterior depth.
2402,1. there are questionable linear calcification in the lower inner right breast.
2403,1. there are questionable linear calcification in the lower inner right breast at anterior depth.
2404,1. there are questionable linear calcification in the lower inner right breast at mid depth.
2405,1. there are questionable linear calcification in the lower inner right breast at posterior depth.
2406,1. there are questionable linear calcification in the subareolar right breast.
2407,1. there are questionable linear calcification in the subareolar right breast at anterior depth.
2408,1. there are questionable linear calcification in the subareolar right breast at mid depth.
2409,1. there are questionable linear calcification in the subareolar right breast at posterior depth.
2410,1. there are indeterminant calcification in the right breast.
2411,1. there are indeterminant calcification in the right breast at anterior depth.
2412,1. there are indeterminant calcification in the right breast at mid depth.
2413,1. there are indeterminant calcification in the right breast at posterior depth.
2414,1. there are indeterminant calcification in the upper right breast.
2415,1. there are indeterminant calcification in the upper right breast at anterior depth.
2416,1. there are indeterminant calcification in the upper right breast at mid depth.
2417,1. there are indeterminant calcification in the upper right breast at posterior depth.
2418,1. there are indeterminant calcification in the lower right breast.
2419,1. there are indeterminant calcification in the lower right breast at anterior depth.
2420,1. there are indeterminant calcification in the lower right breast at mid depth.
2421,1. there are indeterminant calcification in the lower right breast at posterior depth.
2422,1. there are indeterminant calcification in the inner right breast.
2423,1. there are indeterminant calcification in the inner right breast at anterior depth.
2424,1. there are indeterminant calcification in the inner right breast at mid depth.
2425,1. there are indeterminant calcification in the inner right breast at posterior depth.
2426,1. there are indeterminant calcification in the outer right breast.
2427,1. there are indeterminant calcification in the outer right breast at anterior depth.
2428,1. there are indeterminant calcification in the outer right breast at mid depth.
2429,1. there are indeterminant calcification in the outer right breast at posterior depth.
2430,1. there are indeterminant calcification in the upper outer right breast.
2431,1. there are indeterminant calcification in the upper outer right breast at anterior depth.
2432,1. there are indeterminant calcification in the upper outer right breast at mid depth.
2433,1. there are indeterminant calcification in the upper outer right breast at posterior depth.
2434,1. there are indeterminant calcification in the upper inner right breast.
2435,1. there are indeterminant calcification in the upper inner right breast at anterior depth.
2436,1. there are indeterminant calcification in the upper inner right breast at mid depth.
2437,1. there are indeterminant calcification in the upper inner right breast at posterior depth.
2438,1. there are indeterminant calcification in the lower outer right breast.
2439,1. there are indeterminant calcification in the lower outer right breast at anterior depth.
2440,1. there are indeterminant calcification in the lower outer right breast at mid depth.
2441,1. there are indeterminant calcification in the lower outer right breast at posterior depth.
2442,1. there are indeterminant calcification in the lower inner right breast.
2443,1. there are indeterminant calcification in the lower inner right breast at anterior depth.
2444,1. there are indeterminant calcification in the lower inner right breast at mid depth.
2445,1. there are indeterminant calcification in the lower inner right breast at posterior depth.
2446,1. there are indeterminant calcification in the subareolar right breast.
2447,1. there are indeterminant calcification in the subareolar right breast at anterior depth.
2448,1. there are indeterminant calcification in the subareolar right breast at mid depth.
2449,1. there are indeterminant calcification in the subareolar right breast at posterior depth.
2450,1. there are indeterminant new calcification in the right breast.
2451,1. there are indeterminant new calcification in the right breast at anterior depth.
2452,1. there are indeterminant new calcification in the right breast at mid depth.
2453,1. there are indeterminant new calcification in the right breast at posterior depth.
2454,1. there are indeterminant new calcification in the upper right breast.
2455,1. there are indeterminant new calcification in the upper right breast at anterior depth.
2456,1. there are indeterminant new calcification in the upper right breast at mid depth.
2457,1. there are indeterminant new calcification in the upper right breast at posterior depth.
2458,1. there are indeterminant new calcification in the lower right breast.
2459,1. there are indeterminant new calcification in the lower right breast at anterior depth.
2460,1. there are indeterminant new calcification in the lower right breast at mid depth.
2461,1. there are indeterminant new calcification in the lower right breast at posterior depth.
2462,1. there are indeterminant new calcification in the inner right breast.
2463,1. there are indeterminant new calcification in the inner right breast at anterior depth.
2464,1. there are indeterminant new calcification in the inner right breast at mid depth.
2465,1. there are indeterminant new calcification in the inner right breast at posterior depth.
2466,1. there are indeterminant new calcification in the outer right breast.
2467,1. there are indeterminant new calcification in the outer right breast at anterior depth.
2468,1. there are indeterminant new calcification in the outer right breast at mid depth.
2469,1. there are indeterminant new calcification in the outer right breast at posterior depth.
2470,1. there are indeterminant new calcification in the upper outer right breast.
2471,1. there are indeterminant new calcification in the upper outer right breast at anterior depth.
2472,1. there are indeterminant new calcification in the upper outer right breast at mid depth.
2473,1. there are indeterminant new calcification in the upper outer right breast at posterior depth.
2474,1. there are indeterminant new calcification in the upper inner right breast.
2475,1. there are indeterminant new calcification in the upper inner right breast at anterior depth.
2476,1. there are indeterminant new calcification in the upper inner right breast at mid depth.
2477,1. there are indeterminant new calcification in the upper inner right breast at posterior depth.
2478,1. there are indeterminant new calcification in the lower outer right breast.
2479,1. there are indeterminant new calcification in the lower outer right breast at anterior depth.
2480,1. there are indeterminant new calcification in the lower outer right breast at mid depth.
2481,1. there are indeterminant new calcification in the lower outer right breast at posterior depth.
2482,1. there are indeterminant new calcification in the lower inner right breast.
2483,1. there are indeterminant new calcification in the lower inner right breast at anterior depth.
2484,1. there are indeterminant new calcification in the lower inner right breast at mid depth.
2485,1. there are indeterminant new calcification in the lower inner right breast at posterior depth.
2486,1. there are indeterminant new calcification in the subareolar right breast.
2487,1. there are indeterminant new calcification in the subareolar right breast at anterior depth.
2488,1. there are indeterminant new calcification in the subareolar right breast at mid depth.
2489,1. there are indeterminant new calcification in the subareolar right breast at posterior depth.
2490,1. there are indeterminant grouped calcification in the right breast.
2491,1. there are indeterminant grouped calcification in the right breast at anterior depth.
2492,1. there are indeterminant grouped calcification in the right breast at mid depth.
2493,1. there are indeterminant grouped calcification in the right breast at posterior depth.
2494,1. there are indeterminant grouped calcification in the upper right breast.
2495,1. there are indeterminant grouped calcification in the upper right breast at anterior depth.
2496,1. there are indeterminant grouped calcification in the upper right breast at mid depth.
2497,1. there are indeterminant grouped calcification in the upper right breast at posterior depth.
2498,1. there are indeterminant grouped calcification in the lower right breast.
2499,1. there are indeterminant grouped calcification in the lower right breast at anterior depth.
2500,1. there are indeterminant grouped calcification in the lower right breast at mid depth.
2501,1. there are indeterminant grouped calcification in the lower right breast at posterior depth.
2502,1. there are indeterminant grouped calcification in the inner right breast.
2503,1. there are indeterminant grouped calcification in the inner right breast at anterior depth.
2504,1. there are indeterminant grouped calcification in the inner right breast at mid depth.
2505,1. there are indeterminant grouped calcification in the inner right breast at posterior depth.
2506,1. there are indeterminant grouped calcification in the outer right breast.
2507,1. there are indeterminant grouped calcification in the outer right breast at anterior depth.
2508,1. there are indeterminant grouped calcification in the outer right breast at mid depth.
2509,1. there are indeterminant grouped calcification in the outer right breast at posterior depth.
2510,1. there are indeterminant grouped calcification in the upper outer right breast.
2511,1. there are indeterminant grouped calcification in the upper outer right breast at anterior depth.
2512,1. there are indeterminant grouped calcification in the upper outer right breast at mid depth.
2513,1. there are indeterminant grouped calcification in the upper outer right breast at posterior depth.
2514,1. there are indeterminant grouped calcification in the upper inner right breast.
2515,1. there are indeterminant grouped calcification in the upper inner right breast at anterior depth.
2516,1. there are indeterminant grouped calcification in the upper inner right breast at mid depth.
2517,1. there are indeterminant grouped calcification in the upper inner right breast at posterior depth.
2518,1. there are indeterminant grouped calcification in the lower outer right breast.
2519,1. there are indeterminant grouped calcification in the lower outer right breast at anterior depth.
2520,1. there are indeterminant grouped calcification in the lower outer right breast at mid depth.
2521,1. there are indeterminant grouped calcification in the lower outer right breast at posterior depth.
2522,1. there are indeterminant grouped calcification in the lower inner right breast.
2523,1. there are indeterminant grouped calcification in the lower inner right breast at anterior depth.
2524,1. there are indeterminant grouped calcification in the lower inner right breast at mid depth.
2525,1. there are indeterminant grouped calcification in the lower inner right breast at posterior depth.
2526,1. there are indeterminant grouped calcification in the subareolar right breast.
2527,1. there are indeterminant grouped calcification in the subareolar right breast at anterior depth.
2528,1. there are indeterminant grouped calcification in the subareolar right breast at mid depth.
2529,1. there are indeterminant grouped calcification in the subareolar right breast at posterior depth.
2530,1. there are indeterminant clustered calcification in the right breast.
2531,1. there are indeterminant clustered calcification in the right breast at anterior depth.
2532,1. there are indeterminant clustered calcification in the right breast at mid depth.
2533,1. there are indeterminant clustered calcification in the right breast at posterior depth.
2534,1. there are indeterminant clustered calcification in the upper right breast.
2535,1. there are indeterminant clustered calcification in the upper right breast at anterior depth.
2536,1. there are indeterminant clustered calcification in the upper right breast at mid depth.
2537,1. there are indeterminant clustered calcification in the upper right breast at posterior depth.
2538,1. there are indeterminant clustered calcification in the lower right breast.
2539,1. there are indeterminant clustered calcification in the lower right breast at anterior depth.
2540,1. there are indeterminant clustered calcification in the lower right breast at mid depth.
2541,1. there are indeterminant clustered calcification in the lower right breast at posterior depth.
2542,1. there are indeterminant clustered calcification in the inner right breast.
2543,1. there are indeterminant clustered calcification in the inner right breast at anterior depth.
2544,1. there are indeterminant clustered calcification in the inner right breast at mid depth.
2545,1. there are indeterminant clustered calcification in the inner right breast at posterior depth.
2546,1. there are indeterminant clustered calcification in the outer right breast.
2547,1. there are indeterminant clustered calcification in the outer right breast at anterior depth.
2548,1. there are indeterminant clustered calcification in the outer right breast at mid depth.
2549,1. there are indeterminant clustered calcification in the outer right breast at posterior depth.
2550,1. there are indeterminant clustered calcification in the upper outer right breast.
2551,1. there are indeterminant clustered calcification in the upper outer right breast at anterior depth.
2552,1. there are indeterminant clustered calcification in the upper outer right breast at mid depth.
2553,1. there are indeterminant clustered calcification in the upper outer right breast at posterior depth.
2554,1. there are indeterminant clustered calcification in the upper inner right breast.
2555,1. there are indeterminant clustered calcification in the upper inner right breast at anterior depth.
2556,1. there are indeterminant clustered calcification in the upper inner right breast at mid depth.
2557,1. there are indeterminant clustered calcification in the upper inner right breast at posterior depth.
2558,1. there are indeterminant clustered calcification in the lower outer right breast.
2559,1. there are indeterminant clustered calcification in the lower outer right breast at anterior depth.
2560,1. there are indeterminant clustered calcification in the lower outer right breast at mid depth.
2561,1. there are indeterminant clustered calcification in the lower outer right breast at posterior depth.
2562,1. there are indeterminant clustered calcification in the lower inner right breast.
2563,1. there are indeterminant clustered calcification in the lower inner right breast at anterior depth.
2564,1. there are indeterminant clustered calcification in the lower inner right breast at mid depth.
2565,1. there are indeterminant clustered calcification in the lower inner right breast at posterior depth.
2566,1. there are indeterminant clustered calcification in the subareolar right breast.
2567,1. there are indeterminant clustered calcification in the subareolar right breast at anterior depth.
2568,1. there are indeterminant clustered calcification in the subareolar right breast at mid depth.
2569,1. there are indeterminant clustered calcification in the subareolar right breast at posterior depth.
2570,1. there are indeterminant segmental calcification in the right breast.
2571,1. there are indeterminant segmental calcification in the right breast at anterior depth.
2572,1. there are indeterminant segmental calcification in the right breast at mid depth.
2573,1. there are indeterminant segmental calcification in the right breast at posterior depth.
2574,1. there are indeterminant segmental calcification in the upper right breast.
2575,1. there are indeterminant segmental calcification in the upper right breast at anterior depth.
2576,1. there are indeterminant segmental calcification in the upper right breast at mid depth.
2577,1. there are indeterminant segmental calcification in the upper right breast at posterior depth.
2578,1. there are indeterminant segmental calcification in the lower right breast.
2579,1. there are indeterminant segmental calcification in the lower right breast at anterior depth.
2580,1. there are indeterminant segmental calcification in the lower right breast at mid depth.
2581,1. there are indeterminant segmental calcification in the lower right breast at posterior depth.
2582,1. there are indeterminant segmental calcification in the inner right breast.
2583,1. there are indeterminant segmental calcification in the inner right breast at anterior depth.
2584,1. there are indeterminant segmental calcification in the inner right breast at mid depth.
2585,1. there are indeterminant segmental calcification in the inner right breast at posterior depth.
2586,1. there are indeterminant segmental calcification in the outer right breast.
2587,1. there are indeterminant segmental calcification in the outer right breast at anterior depth.
2588,1. there are indeterminant segmental calcification in the outer right breast at mid depth.
2589,1. there are indeterminant segmental calcification in the outer right breast at posterior depth.
2590,1. there are indeterminant segmental calcification in the upper outer right breast.
2591,1. there are indeterminant segmental calcification in the upper outer right breast at anterior depth.
2592,1. there are indeterminant segmental calcification in the upper outer right breast at mid depth.
2593,1. there are indeterminant segmental calcification in the upper outer right breast at posterior depth.
2594,1. there are indeterminant segmental calcification in the upper inner right breast.
2595,1. there are indeterminant segmental calcification in the upper inner right breast at anterior depth.
2596,1. there are indeterminant segmental calcification in the upper inner right breast at mid depth.
2597,1. there are indeterminant segmental calcification in the upper inner right breast at posterior depth.
2598,1. there are indeterminant segmental calcification in the lower outer right breast.
2599,1. there are indeterminant segmental calcification in the lower outer right breast at anterior depth.
2600,1. there are indeterminant segmental calcification in the lower outer right breast at mid depth.
2601,1. there are indeterminant segmental calcification in the lower outer right breast at posterior depth.
2602,1. there are indeterminant segmental calcification in the lower inner right breast.
2603,1. there are indeterminant segmental calcification in the lower inner right breast at anterior depth.
2604,1. there are indeterminant segmental calcification in the lower inner right breast at mid depth.
2605,1. there are indeterminant segmental calcification in the lower inner right breast at posterior depth.
2606,1. there are indeterminant segmental calcification in the subareolar right breast.
2607,1. there are indeterminant segmental calcification in the subareolar right breast at anterior depth.
2608,1. there are indeterminant segmental calcification in the subareolar right breast at mid depth.
2609,1. there are indeterminant segmental calcification in the subareolar right breast at posterior depth.
2610,1. there are indeterminant linear calcification in the right breast.
2611,1. there are indeterminant linear calcification in the right breast at anterior depth.
2612,1. there are indeterminant linear calcification in the right breast at mid depth.
2613,1. there are indeterminant linear calcification in the right breast at posterior depth.
2614,1. there are indeterminant linear calcification in the upper right breast.
2615,1. there are indeterminant linear calcification in the upper right breast at anterior depth.
2616,1. there are indeterminant linear calcification in the upper right breast at mid depth.
2617,1. there are indeterminant linear calcification in the upper right breast at posterior depth.
2618,1. there are indeterminant linear calcification in the lower right breast.
2619,1. there are indeterminant linear calcification in the lower right breast at anterior depth.
2620,1. there are indeterminant linear calcification in the lower right breast at mid depth.
2621,1. there are indeterminant linear calcification in the lower right breast at posterior depth.
2622,1. there are indeterminant linear calcification in the inner right breast.
2623,1. there are indeterminant linear calcification in the inner right breast at anterior depth.
2624,1. there are indeterminant linear calcification in the inner right breast at mid depth.
2625,1. there are indeterminant linear calcification in the inner right breast at posterior depth.
2626,1. there are indeterminant linear calcification in the outer right breast.
2627,1. there are indeterminant linear calcification in the outer right breast at anterior depth.
2628,1. there are indeterminant linear calcification in the outer right breast at mid depth.
2629,1. there are indeterminant linear calcification in the outer right breast at posterior depth.
2630,1. there are indeterminant linear calcification in the upper outer right breast.
2631,1. there are indeterminant linear calcification in the upper outer right breast at anterior depth.
2632,1. there are indeterminant linear calcification in the upper outer right breast at mid depth.
2633,1. there are indeterminant linear calcification in the upper outer right breast at posterior depth.
2634,1. there are indeterminant linear calcification in the upper inner right breast.
2635,1. there are indeterminant linear calcification in the upper inner right breast at anterior depth.
2636,1. there are indeterminant linear calcification in the upper inner right breast at mid depth.
2637,1. there are indeterminant linear calcification in the upper inner right breast at posterior depth.
2638,1. there are indeterminant linear calcification in the lower outer right breast.
2639,1. there are indeterminant linear calcification in the lower outer right breast at anterior depth.
2640,1. there are indeterminant linear calcification in the lower outer right breast at mid depth.
2641,1. there are indeterminant linear calcification in the lower outer right breast at posterior depth.
2642,1. there are indeterminant linear calcification in the lower inner right breast.
2643,1. there are indeterminant linear calcification in the lower inner right breast at anterior depth.
2644,1. there are indeterminant linear calcification in the lower inner right breast at mid depth.
2645,1. there are indeterminant linear calcification in the lower inner right breast at posterior depth.
2646,1. there are indeterminant linear calcification in the subareolar right breast.
2647,1. there are indeterminant linear calcification in the subareolar right breast at anterior depth.
2648,1. there are indeterminant linear calcification in the subareolar right breast at mid depth.
2649,1. there are indeterminant linear calcification in the subareolar right breast at posterior depth.
2650,1. there are calcification in the left breast.
2651,1. there are calcification in the left breast at anterior depth.
2652,1. there are calcification in the left breast at mid depth.
2653,1. there are calcification in the left breast at posterior depth.
2654,1. there are calcification in the upper left breast.
2655,1. there are calcification in the upper left breast at anterior depth.
2656,1. there are calcification in the upper left breast at mid depth.
2657,1. there are calcification in the upper left breast at posterior depth.
2658,1. there are calcification in the lower left breast.
2659,1. there are calcification in the lower left breast at anterior depth.
2660,1. there are calcification in the lower left breast at mid depth.
2661,1. there are calcification in the lower left breast at posterior depth.
2662,1. there are calcification in the inner left breast.
2663,1. there are calcification in the inner left breast at anterior depth.
2664,1. there are calcification in the inner left breast at mid depth.
2665,1. there are calcification in the inner left breast at posterior depth.
2666,1. there are calcification in the outer left breast.
2667,1. there are calcification in the outer left breast at anterior depth.
2668,1. there are calcification in the outer left breast at mid depth.
2669,1. there are calcification in the outer left breast at posterior depth.
2670,1. there are calcification in the upper outer left breast.
2671,1. there are calcification in the upper outer left breast at anterior depth.
2672,1. there are calcification in the upper outer left breast at mid depth.
2673,1. there are calcification in the upper outer left breast at posterior depth.
2674,1. there are calcification in the upper inner left breast.
2675,1. there are calcification in the upper inner left breast at anterior depth.
2676,1. there are calcification in the upper inner left breast at mid depth.
2677,1. there are calcification in the upper inner left breast at posterior depth.
2678,1. there are calcification in the lower outer left breast.
2679,1. there are calcification in the lower outer left breast at anterior depth.
2680,1. there are calcification in the lower outer left breast at mid depth.
2681,1. there are calcification in the lower outer left breast at posterior depth.
2682,1. there are calcification in the lower inner left breast.
2683,1. there are calcification in the lower inner left breast at anterior depth.
2684,1. there are calcification in the lower inner left breast at mid depth.
2685,1. there are calcification in the lower inner left breast at posterior depth.
2686,1. there are calcification in the subareolar left breast.
2687,1. there are calcification in the subareolar left breast at anterior depth.
2688,1. there are calcification in the subareolar left breast at mid depth.
2689,1. there are calcification in the subareolar left breast at posterior depth.
2690,1. there are new calcification in the left breast.
2691,1. there are new calcification in the left breast at anterior depth.
2692,1. there are new calcification in the left breast at mid depth.
2693,1. there are new calcification in the left breast at posterior depth.
2694,1. there are new calcification in the upper left breast.
2695,1. there are new calcification in the upper left breast at anterior depth.
2696,1. there are new calcification in the upper left breast at mid depth.
2697,1. there are new calcification in the upper left breast at posterior depth.
2698,1. there are new calcification in the lower left breast.
2699,1. there are new calcification in the lower left breast at anterior depth.
2700,1. there are new calcification in the lower left breast at mid depth.
2701,1. there are new calcification in the lower left breast at posterior depth.
2702,1. there are new calcification in the inner left breast.
2703,1. there are new calcification in the inner left breast at anterior depth.
2704,1. there are new calcification in the inner left breast at mid depth.
2705,1. there are new calcification in the inner left breast at posterior depth.
2706,1. there are new calcification in the outer left breast.
2707,1. there are new calcification in the outer left breast at anterior depth.
2708,1. there are new calcification in the outer left breast at mid depth.
2709,1. there are new calcification in the outer left breast at posterior depth.
2710,1. there are new calcification in the upper outer left breast.
2711,1. there are new calcification in the upper outer left breast at anterior depth.
2712,1. there are new calcification in the upper outer left breast at mid depth.
2713,1. there are new calcification in the upper outer left breast at posterior depth.
2714,1. there are new calcification in the upper inner left breast.
2715,1. there are new calcification in the upper inner left breast at anterior depth.
2716,1. there are new calcification in the upper inner left breast at mid depth.
2717,1. there are new calcification in the upper inner left breast at posterior depth.
2718,1. there are new calcification in the lower outer left breast.
2719,1. there are new calcification in the lower outer left breast at anterior depth.
2720,1. there are new calcification in the lower outer left breast at mid depth.
2721,1. there are new calcification in the lower outer left breast at posterior depth.
2722,1. there are new calcification in the lower inner left breast.
2723,1. there are new calcification in the lower inner left breast at anterior depth.
2724,1. there are new calcification in the lower inner left breast at mid depth.
2725,1. there are new calcification in the lower inner left breast at posterior depth.
2726,1. there are new calcification in the subareolar left breast.
2727,1. there are new calcification in the subareolar left breast at anterior depth.
2728,1. there are new calcification in the subareolar left breast at mid depth.
2729,1. there are new calcification in the subareolar left breast at posterior depth.
2730,1. there are grouped calcification in the left breast.
2731,1. there are grouped calcification in the left breast at anterior depth.
2732,1. there are grouped calcification in the left breast at mid depth.
2733,1. there are grouped calcification in the left breast at posterior depth.
2734,1. there are grouped calcification in the upper left breast.
2735,1. there are grouped calcification in the upper left breast at anterior depth.
2736,1. there are grouped calcification in the upper left breast at mid depth.
2737,1. there are grouped calcification in the upper left breast at posterior depth.
2738,1. there are grouped calcification in the lower left breast.
2739,1. there are grouped calcification in the lower left breast at anterior depth.
2740,1. there are grouped calcification in the lower left breast at mid depth.
2741,1. there are grouped calcification in the lower left breast at posterior depth.
2742,1. there are grouped calcification in the inner left breast.
2743,1. there are grouped calcification in the inner left breast at anterior depth.
2744,1. there are grouped calcification in the inner left breast at mid depth.
2745,1. there are grouped calcification in the inner left breast at posterior depth.
2746,1. there are grouped calcification in the outer left breast.
2747,1. there are grouped calcification in the outer left breast at anterior depth.
2748,1. there are grouped calcification in the outer left breast at mid depth.
2749,1. there are grouped calcification in the outer left breast at posterior depth.
2750,1. there are grouped calcification in the upper outer left breast.
2751,1. there are grouped calcification in the upper outer left breast at anterior depth.
2752,1. there are grouped calcification in the upper outer left breast at mid depth.
2753,1. there are grouped calcification in the upper outer left breast at posterior depth.
2754,1. there are grouped calcification in the upper inner left breast.
2755,1. there are grouped calcification in the upper inner left breast at anterior depth.
2756,1. there are grouped calcification in the upper inner left breast at mid depth.
2757,1. there are grouped calcification in the upper inner left breast at posterior depth.
2758,1. there are grouped calcification in the lower outer left breast.
2759,1. there are grouped calcification in the lower outer left breast at anterior depth.
2760,1. there are grouped calcification in the lower outer left breast at mid depth.
2761,1. there are grouped calcification in the lower outer left breast at posterior depth.
2762,1. there are grouped calcification in the lower inner left breast.
